"Time Offset [ms]","Time [ms]","Patched Time [ms]","Time [hh:mm:ss.ms]","T-Zero Time [ms]","T-zero Time [hh:mm:ss.ms]","Temperature [ºC]","Humidity [%RH]","X [g]","Y [g]","Z [g]","Magnitude [g]","Pressure [hPa]","Temperature [ºC]","Altitude [m]","eCO2 [ppm]","TVOC [ppb]"
,6124704,6124704,01:42:04.704,0,00:00:00.000,31.9,51.11,1.00,0.05,1.92,2.17,1007,31.1,59,407,24
,6124749,6124749,01:42:04.749,45,00:00:00.045,31.9,51.19,0.92,0.94,1.98,2.38,1007,31.1,59,413,18
,6124794,6124794,01:42:04.794,90,00:00:00.090,31.9,51.17,-0.59,0.70,1.98,2.18,1007,31.1,59,403,23
,6124838,6124838,01:42:04.838,134,00:00:00.134,31.9,51.14,0.66,0.72,1.98,2.21,1007,31.1,59,412,21
,6124884,6124884,01:42:04.884,180,00:00:00.180,31.9,51.19,1.31,-0.61,1.98,2.45,1007,31.1,59,411,21
,6124929,6124929,01:42:04.929,225,00:00:00.225,31.9,51.17,0.86,-0.03,1.98,2.16,1007,31.1,59,400,17
,6124974,6124974,01:42:04.974,270,00:00:00.270,31.9,51.14,1.98,-0.59,1.98,2.86,1007,31.1,59,412,22
,6125021,6125021,01:42:05.021,317,00:00:00.317,31.9,51.13,-0.48,0.36,1.98,2.07,1007,31.1,59,408,23
,6125066,6125066,01:42:05.066,362,00:00:00.362,31.9,51.11,1.98,-0.39,1.98,2.83,1007,31.1,59,410,19
,6125112,6125112,01:42:05.112,408,00:00:00.408,31.9,51.09,-1.55,0.88,1.98,2.66,1007,31.1,59,406,17
,6125157,6125157,01:42:05.157,453,00:00:00.453,31.9,51.08,0.11,0.42,1.98,2.03,1007,31.1,59,412,18
,6125202,6125202,01:42:05.202,498,00:00:00.498,31.9,51.08,1.38,-1.48,1.98,2.83,1007,31.1,59,403,21
,6125246,6125246,01:42:05.246,542,00:00:00.542,31.9,51.05,-0.88,0.09,1.98,2.17,1007,31.1,59,409,23
,6125300,6125300,01:42:05.300,596,00:00:00.596,31.9,51.00,1.75,0.66,1.98,2.72,1007,31.1,59,410,20
,6125346,6125346,01:42:05.346,642,00:00:00.642,31.8,51.11,1.98,1.98,1.98,3.43,1007,31.1,59,408,19
,6125393,6125393,01:42:05.393,689,00:00:00.689,31.8,52.29,-1.98,1.06,1.98,2.99,1007,31.1,59,410,23
,6125438,6125438,01:42:05.438,734,00:00:00.734,31.8,52.25,-1.20,-1.39,1.98,2.70,1007,31.1,59,406,18
,6125484,6125484,01:42:05.484,780,00:00:00.780,31.9,52.27,-2.00,0.88,1.98,2.95,1007,31.1,59,409,21
,6125529,6125529,01:42:05.529,825,00:00:00.825,31.8,52.27,0.23,0.06,1.98,1.99,1007,31.1,59,411,19
,6125574,6125574,01:42:05.574,870,00:00:00.870,31.8,52.27,-1.06,-0.22,1.98,2.26,1007,31.1,59,407,24
,6125619,6125619,01:42:05.619,915,00:00:00.915,31.8,52.29,0.34,0.75,1.98,2.14,1007,31.1,59,403,24
,6125664,6125664,01:42:05.664,960,00:00:00.960,31.8,52.26,1.98,-1.25,1.98,3.07,1007,31.1,58,406,19
,6125709,6125709,01:42:05.709,1005,00:00:01.005,31.9,52.29,1.88,-0.70,1.98,2.82,1007,31.1,58,406,24
,6125754,6125754,01:42:05.754,1050,00:00:01.050,31.9,52.27,0.05,1.55,1.98,2.52,1007,31.1,58,403,19
,6125801,6125801,01:42:05.801,1097,00:00:01.097,31.9,52.25,1.44,0.58,1.98,2.52,1007,31.1,58,403,23
,6125846,6125846,01:42:05.846,1142,00:00:01.142,31.9,52.27,-1.47,1.67,1.98,2.98,1007,31.1,58,404,17
,6125892,6125892,01:42:05.892,1188,00:00:01.188,31.8,52.25,1.36,-0.47,1.98,2.45,1007,31.1,58,406,24
,6125937,6125937,01:42:05.937,1233,00:00:01.233,31.9,52.26,1.11,-0.64,1.98,2.36,1007,31.1,58,401,20
,6125982,6125982,01:42:05.982,1278,00:00:01.278,31.9,52.29,-1.83,0.64,1.98,2.77,1007,31.1,58,404,26
,6126027,6126027,01:42:06.027,1323,00:00:01.323,31.8,52.30,-0.47,0.23,1.98,2.05,1007,31.1,58,402,23
,6126072,6126072,01:42:06.072,1368,00:00:01.368,31.9,52.32,-1.39,1.14,1.98,2.67,1007,31.1,58,405,22
,6126117,6126117,01:42:06.117,1413,00:00:01.413,31.8,52.34,0.42,-0.78,1.98,2.17,1007,31.1,58,400,20
,6126162,6126162,01:42:06.162,1458,00:00:01.458,31.9,52.36,0.48,-0.45,1.98,2.09,1007,31.1,58,409,21
,6126209,6126209,01:42:06.209,1505,00:00:01.505,31.8,52.41,0.44,1.00,1.98,2.26,1007,31.1,58,404,23
,6126254,6126254,01:42:06.254,1550,00:00:01.550,31.9,52.38,0.23,0.48,1.98,2.05,1007,31.1,58,412,23
,6126300,6126300,01:42:06.300,1596,00:00:01.596,31.8,52.42,0.23,1.02,1.98,2.24,1007,31.1,58,400,23
,6126345,6126345,01:42:06.345,1641,00:00:01.641,31.9,52.43,0.16,0.66,1.98,2.09,1007,31.1,58,401,24
,6126390,6126390,01:42:06.390,1686,00:00:01.686,31.8,52.42,0.97,0.22,1.98,2.22,1007,31.1,58,406,22
,6126435,6126435,01:42:06.435,1731,00:00:01.731,31.8,52.45,0.19,0.33,1.98,2.02,1007,31.1,58,409,21
,6126480,6126480,01:42:06.480,1776,00:00:01.776,31.9,52.41,-0.84,0.44,1.98,2.20,1007,31.1,58,406,22
,6126525,6126525,01:42:06.525,1821,00:00:01.821,31.8,52.38,-0.17,0.86,1.98,2.17,1007,31.1,58,408,20
,6126570,6126570,01:42:06.570,1866,00:00:01.866,31.8,52.37,-0.08,0.66,1.98,2.09,1007,31.1,58,406,25
,6126617,6126617,01:42:06.617,1913,00:00:01.913,31.8,52.36,0.67,0.30,1.98,2.11,1007,31.1,58,400,18
,6126662,6126662,01:42:06.662,1958,00:00:01.958,31.8,52.29,0.11,0.23,1.98,2.00,1005,31.0,71,400,18
,6126708,6126708,01:42:06.708,2004,00:00:02.004,31.8,52.23,0.12,1.12,1.98,2.28,1005,31.0,71,400,18
,6126753,6126753,01:42:06.753,2049,00:00:02.049,31.8,52.11,0.48,-0.47,1.98,2.09,1005,31.0,71,400,16
,6126798,6126798,01:42:06.798,2094,00:00:02.094,31.8,52.03,0.53,-0.62,1.98,2.14,1005,31.0,71,400,19
,6126843,6126843,01:42:06.843,2139,00:00:02.139,31.8,51.98,0.30,-0.27,1.98,2.02,1005,31.0,71,401,24
,6126888,6126888,01:42:06.888,2184,00:00:02.184,31.8,51.90,0.23,-0.22,1.98,2.01,1005,31.0,71,403,19
,6126933,6126933,01:42:06.933,2229,00:00:02.229,31.8,51.96,0.00,0.39,1.98,2.02,1005,31.0,71,406,21
,6126978,6126978,01:42:06.978,2274,00:00:02.274,31.8,51.97,0.92,-0.45,1.98,2.23,1005,31.0,71,403,21
,6127025,6127025,01:42:07.025,2321,00:00:02.321,31.8,51.98,0.16,-0.83,1.98,2.15,1005,31.0,71,410,23
,6127070,6127070,01:42:07.070,2366,00:00:02.366,31.8,52.05,0.22,1.03,1.98,2.24,1005,31.0,71,400,16
,6127116,6127116,01:42:07.116,2412,00:00:02.412,31.8,52.13,-1.59,-0.16,1.98,2.54,1005,31.0,71,400,21
,6127161,6127161,01:42:07.161,2457,00:00:02.457,31.8,52.25,0.38,0.64,1.98,2.12,1005,31.0,71,400,17
,6127206,6127206,01:42:07.206,2502,00:00:02.502,31.8,52.31,0.11,0.53,1.98,2.05,1005,31.0,71,400,21
,6127251,6127251,01:42:07.251,2547,00:00:02.547,31.8,52.38,-0.30,-0.14,1.98,2.01,1005,31.0,71,405,17
,6127296,6127296,01:42:07.296,2592,00:00:02.592,31.8,52.42,1.44,1.39,1.98,2.82,1005,31.0,71,400,13
,6127341,6127341,01:42:07.341,2637,00:00:02.637,31.8,52.35,-0.89,0.67,1.98,2.27,1005,31.0,71,400,19
,6127386,6127386,01:42:07.386,2682,00:00:02.682,31.8,52.23,-0.31,0.16,1.98,2.01,1005,31.0,71,401,15
,6127433,6127433,01:42:07.433,2729,00:00:02.729,31.8,52.03,1.98,-1.05,1.89,2.93,1005,31.0,71,401,22
,6127478,6127478,01:42:07.478,2774,00:00:02.774,31.8,51.88,-1.30,1.22,1.98,2.66,1005,31.0,71,400,17
,6127524,6127524,01:42:07.524,2820,00:00:02.820,31.8,51.89,-2.00,1.77,1.98,3.32,1005,31.0,71,400,14
,6127568,6127568,01:42:07.568,2864,00:00:02.864,31.8,51.92,1.77,-1.72,1.98,3.16,1005,31.0,71,400,22
,6127614,6127614,01:42:07.614,2910,00:00:02.910,31.8,52.04,-2.00,1.98,1.98,3.44,1005,31.0,71,400,19
,6127659,6127659,01:42:07.659,2955,00:00:02.955,31.8,52.26,-1.05,1.23,1.98,2.56,999,31.1,124,400,20
,6127704,6127704,01:42:07.704,3000,00:00:03.000,31.9,52.35,1.98,1.47,1.98,3.16,999,31.1,124,400,14
,6127749,6127749,01:42:07.749,3045,00:00:03.045,31.8,52.47,-0.97,-0.81,1.98,2.35,999,31.1,124,400,17
,6127794,6127794,01:42:07.794,3090,00:00:03.090,31.9,52.50,0.39,1.98,1.98,2.83,999,31.1,124,400,20
,6127841,6127841,01:42:07.841,3137,00:00:03.137,31.8,52.39,-2.00,1.98,1.98,3.44,999,31.1,124,400,20
